Date,Open,High,Low,Close,Adj Close,Volume
2017-06-26,52.730000,53.430000,52.590000,52.900002,52.900002,12532800
2017-06-27,53.020000,53.660000,52.910000,53.160000,53.160000,13496300
2017-06-28,53.610001,54.419998,53.520000,54.330002,54.330002,20961700
2017-06-29,55.650002,56.599998,55.209999,55.779999,55.779999,32552100
2017-06-30,56.029999,56.049999,55.160000,55.410000,55.410000,16499800
2017-07-03,55.810001,56.450001,55.709999,55.779999,55.779999,11825000
2017-07-05,55.970001,56.020000,55.340000,55.779999,55.779999,14086900
2017-07-06,55.980000,56.320000,55.500000,55.560001,55.560001,14481200
2017-07-07,55.779999,55.830002,55.250000,55.740002,55.740002,11503500
2017-07-10,55.529999,55.810001,55.340000,55.590000,55.590000,10979000
2017-07-11,55.660000,55.709999,54.820000,55.040001,55.040001,14842700
2017-07-12,54.930000,55.240002,54.599998,55.169998,55.169998,11951500
2017-07-13,55.259998,55.669998,55.060001,55.599998,55.599998,14201800
2017-07-14,54.310001,55.200001,54.119999,54.990002,54.990002,17949600
2017-07-17,54.900002,54.980000,54.439999,54.709999,54.709999,14953600
2017-07-18,54.310001,54.919998,54.230000,54.799999,54.799999,13603300
2017-07-19,54.799999,55.209999,54.689999,54.939999,54.939999,12366200
2017-07-20,54.959999,55.310001,54.680000,54.880001,54.880001,15123500
2017-07-21,54.430000,54.619999,54.099998,54.169998,54.169998,17115900
2017-07-24,54.099998,54.365002,54.040001,54.215000,54.215000,6535762
